Code,Name
ANOC,Anemone occidentalis
ARLA,Arnica latifolia
CAMI,Castilleja miniata
CAPA,Castilleja parviflora
CARU,Castilleja rupicola
ERGR,Erythronium grandiflorum
ERMO,Erythronium montanum
ERPE,Erigeron peregrinus
GECA,Gentiana calycosa
LICO,Lilium columbianum
LIGR,Ligusticum grayi
LUAR,Lupinus arcticus
LUPE,Luetkea pectinata
MILE,Mimulus lewisii
PEBR,Pedicularis bracteosa
PEDA,Penstemon davidsonii
PEOR,Pedicularis ornithorhyncha
PEPR,Penstemon procerus
PERU,Penstemon rubicola 
PHDI,Phlox diffusa
PHEM,Phyllodoce empetriformis
POBI,Polygonum bistortoides
VASI,Valeriana sitchensis
VEVI,Veratrum viride
XETE,Xerophyllum tenax