Year,Month,Numeric Month,Recreation Visitors,Non-Recreation Visitors,Concession Lodging,Tent Campers,RV Campers,Concession Camping,Backcountry Campers,Misc Campers,Total Overnight Stays
2009,January,1,14766.00,0.00,376.00,0.00,0.00,0.00,347.00,0.00,723.00
2009,February,2,17919.00,0.00,527.00,0.00,0.00,0.00,1228.00,0.00,1755.00
2009,March,3,13917.00,0.00,310.00,0.00,0.00,0.00,1069.00,0.00,1379.00
2009,April,4,22254.00,0.00,361.00,0.00,0.00,0.00,917.00,0.00,1278.00
2009,May,5,66161.00,25590.00,1873.00,1084.00,330.00,0.00,2797.00,93.00,6177.00
2009,June,6,184078.00,102909.00,5389.00,6222.00,2523.00,0.00,5715.00,512.00,20361.00
2009,July,7,269951.00,135354.00,9693.00,20868.00,7533.00,0.00,11600.00,1951.00,51645.00
2009,August,8,267980.00,134057.00,10376.00,22800.00,7263.00,0.00,12738.00,2211.00,55388.00
2009,September,9,175431.00,70946.00,7926.00,7428.00,4374.00,0.00,6000.00,792.00,26520.00
2009,October,10,65988.00,68674.00,1504.00,630.00,538.00,0.00,393.00,68.00,3133.00
2009,November,11,29473.00,11970.00,316.00,0.00,0.00,0.00,33.00,0.00,349.00
2009,December,12,23736.00,0.00,485.00,0.00,0.00,0.00,246.00,0.00,731.00
2010,January,1,25416.00,0.00,395.00,0.00,0.00,0.00,839.00,0.00,1234.00
2010,February,2,27854.00,0.00,697.00,0.00,0.00,0.00,1579.00,0.00,2276.00
2010,March,3,26409.00,0.00,1469.00,0.00,0.00,0.00,0.00,0.00,1469.00
2010,April,4,23661.00,294.00,475.00,0.00,0.00,0.00,798.00,0.00,1273.00
2010,May,5,56037.00,32577.00,1907.00,582.00,350.00,0.00,2308.00,99.00,5246.00
2010,June,6,186060.00,79473.00,6077.00,5085.00,2379.00,0.00,5601.00,1140.00,20282.00
2010,July,7,276729.00,134174.00,10350.00,22815.00,7851.00,0.00,10259.00,2658.00,53933.00
2010,August,8,287090.00,149481.00,10540.00,23718.00,8259.00,0.00,12743.00,2357.00,57617.00
2010,September,9,160833.00,58026.00,8042.00,6440.00,3402.00,0.00,5744.00,1327.00,24955.00
2010,October,10,66114.00,68404.00,1475.00,700.00,619.00,0.00,400.00,33.00,3227.00
2010,November,11,35042.00,17734.00,276.00,0.00,0.00,0.00,67.00,0.00,343.00
2010,December,12,20509.00,0.00,590.00,0.00,0.00,0.00,393.00,0.00,983.00
2011,January,1,21157.00,0.00,496.00,0.00,0.00,0.00,762.00,0.00,1258.00
2011,February,2,20023.00,0.00,656.00,0.00,0.00,0.00,1479.00,0.00,2135.00
2011,March,3,17283.00,0.00,470.00,0.00,0.00,0.00,967.00,0.00,1437.00
2011,April,4,20049.00,0.00,436.00,0.00,0.00,0.00,860.00,0.00,1296.00
2011,May,5,39096.00,7854.00,1406.00,288.00,165.00,0.00,1965.00,102.00,3926.00
2011,June,6,90181.00,19599.00,5710.00,4359.00,2004.00,0.00,5704.00,1117.00,18894.00
2011,July,7,243791.00,122844.00,9510.00,18705.00,6654.00,0.00,9257.00,2446.00,46572.00
2011,August,8,272128.00,142097.00,9825.00,23199.00,7653.00,0.00,11402.00,2530.00,54609.00
2011,September,9,196242.00,80735.00,7593.00,9103.00,4323.00,0.00,6965.00,1551.00,29535.00
2011,October,10,66499.00,70056.00,999.00,283.00,288.00,0.00,309.00,0.00,1879.00
2011,November,11,31614.00,14196.00,336.00,0.00,0.00,0.00,82.00,0.00,418.00
2011,December,12,20166.00,0.00,570.00,0.00,0.00,0.00,155.00,0.00,725.00
2012,January,1,14361.00,0.00,323.00,0.00,0.00,0.00,574.00,0.00,897.00
2012,February,2,16894.00,0.00,556.00,0.00,0.00,0.00,1548.00,0.00,2104.00
2012,March,3,15977.00,0.00,351.00,0.00,0.00,0.00,1242.00,0.00,1593.00
2012,April,4,25320.00,0.00,487.00,0.00,0.00,0.00,936.00,0.00,1423.00
2012,May,5,62732.00,42122.00,1603.00,902.00,328.00,0.00,2215.00,414.00,5462.00
2012,June,6,109205.00,46575.00,5553.00,3693.00,1896.00,0.00,4801.00,1093.00,17036.00
2012,July,7,240018.00,121232.00,9922.00,20289.00,7536.00,0.00,11033.00,2503.00,51283.00
2012,August,8,275146.00,140228.00,9916.00,26709.00,9063.00,0.00,14046.00,2490.00,62224.00
2012,September,9,185340.00,68785.00,8043.00,9934.00,4813.00,0.00,8422.00,1957.00,33169.00
2012,October,10,59049.00,62818.00,845.00,669.00,473.00,0.00,567.00,64.00,2618.00
2012,November,11,28224.00,14322.00,253.00,0.00,0.00,0.00,48.00,0.00,301.00
2012,December,12,16912.00,0.00,538.00,0.00,0.00,0.00,133.00,0.00,671.00
2013,January,1,21735.00,0.00,566.00,0.00,0.00,0.00,621.00,0.00,1187.00
2013,February,2,16937.00,0.00,662.00,0.00,0.00,0.00,1612.00,0.00,2274.00
2013,March,3,22315.00,0.00,660.00,0.00,0.00,0.00,1213.00,0.00,1873.00
2013,April,4,14102.00,0.00,385.00,0.00,0.00,0.00,851.00,0.00,1236.00
2013,May,5,51227.00,47046.00,1661.00,563.00,204.00,0.00,1876.00,88.00,4392.00
2013,June,6,178339.00,81102.00,6278.00,4986.00,2166.00,0.00,5715.00,789.00,19934.00
2013,July,7,286562.00,143344.00,9602.00,21765.00,9216.00,0.00,12493.00,2804.00,55880.00
2013,August,8,287340.00,152800.00,9799.00,26484.00,9228.00,0.00,14524.00,3891.00,63926.00
2013,September,9,154566.00,64908.00,7434.00,6062.00,3388.00,0.00,6700.00,1023.00,24607.00
2013,October,10,38478.00,44449.00,261.00,0.00,0.00,0.00,164.00,0.00,425.00
2013,November,11,59344.00,39708.00,285.00,0.00,0.00,0.00,84.00,0.00,369.00
2013,December,12,17607.00,0.00,515.00,0.00,0.00,0.00,122.00,0.00,637.00
2014,January,1,23824.00,0.00,464.00,0.00,0.00,0.00,878.00,0.00,1342.00
2014,February,2,10641.00,0.00,492.00,0.00,0.00,0.00,785.00,0.00,1277.00
2014,March,3,19935.00,0.00,548.00,0.00,0.00,0.00,1347.00,0.00,1895.00
2014,April,4,31295.00,0.00,454.00,0.00,0.00,0.00,787.00,0.00,1241.00
2014,May,5,55951.00,29378.00,1906.00,1159.00,406.00,0.00,2290.00,33.00,5794.00
2014,June,6,161513.00,69342.00,6668.00,5580.00,2574.00,0.00,5825.00,984.00,21631.00
2014,July,7,263948.00,120717.00,9823.00,17358.00,13458.00,0.00,13015.00,4056.00,57710.00
2014,August,8,320378.00,165088.00,9820.00,25824.00,9180.00,0.00,14735.00,3718.00,63277.00
2014,September,9,173827.00,65001.00,7552.00,8168.00,4214.00,0.00,7963.00,1289.00,29186.00
2014,October,10,76384.00,90444.00,1680.00,666.00,683.00,0.00,561.00,0.00,3591.00
2014,November,11,111446.00,71420.00,348.00,0.00,0.00,0.00,63.00,0.00,411.00
2014,December,12,15117.00,0.00,506.00,0.00,0.00,0.00,430.00,0.00,936.00